116,147,65
82,143,44
77,154,49
57,133,97
91,152,49
48,120,72
66,139,44
98,164,44
65,163,62
82,164,44
65,122,44
44,122,44
49,133,74
97,145,62
49,146,62
72,154,61
44,174,75
44,130,107
62,131,74
44,130,66
44,130,65
44,130,65
74,130,98
62,151,98
62,145,98
61,154,82
75,160,82
107,148,81
74,148,55
66,148,75
65,164,52
65,163,47
98,133,44
98,131,75
98,163,74
82,125,73
82,163,62
81,161,62
55,165,61
75,160,73
52,120,73
47,144,74
44,130,89
75,160,81
74,148,98
73,147,98
62,140,47
62,154,48
61,154,80
73,175,48
73,122,51
74,171,82
89,179,80
81,164,81
98,163,81
98,162,85
47,128,80
48,124,83
80,172,88
48,123,85
51,163,61
82,165,60
80,124,98
81,126,85
81,138,85
85,124,48
80,149,51
83,149,85
88,153,47
85,172,48
61,154,48
60,154,48
98,120,48
85,172,80
85,126,79
48,121,80
51,120,85
85,163,44
47,124,74
48,124,84
48,163,44
48,163,48
48,179,61
80,173,80
79,172,81
80,144,81
85,144,48
44,130,48
74,148,48
84,124,64
44,122,48
48,120,48
61,124,48
80,177,48
81,129,48
81,127,108
48,176,80
48,169,81
48,159,81
64,160,81
48,129,87
48,128,80
48,172,81
48,163,48
48,164,60
108,164,60
80,164,60
81,171,60
81,122,48
81,172,48
87,174,48
80,173,48
81,123,108
48,174,48
60,175,48
60,173,48
60,168,48
60,126,108
48,178,76
48,144,88
48,172,85
48,162,51
108,129,54
48,129,83
48,172,88
48,162,80
48,129,51
108,163,51
76,124,50
88,122,84
85,123,48
51,172,48
54,172,48
83,125,79
88,172,108
80,144,82
51,173,47
51,124,48
50,174,48
84,172,108
48,120,83
48,179,85
48,165,85
79,162,84
108,129,60
82,164,60
47,173,87
48,164,118
48,167,60
108,129,51
83,171,108
85,121,54
85,163,54
84,124,48
60,174,48
60,122,80
87,124,82
118,172,48
60,173,48
51,123,48
108,161,48
54,173,48
54,172,83
48,129,88
48,129,85
80,144,89
82,144,85
48,124,85
48,142,119
48,143,45
48,179,48
48,143,48
83,143,44
88,124,53
85,144,53
89,173,46
85,123,49
85,172,48
119,124,49
45,173,50
48,144,45
48,125,49
44,171,49
53,120,49
53,123,49
46,179,49
49,147,47
48,147,47
49,148,49
50,124,47
45,176,47
49,172,49
49,123,49
49,123,73
49,148,48
49,124,73
47,177,71
47,179,73
49,171,48
47,178,48
47,171,47
49,174,73
49,120,48
73,122,72
48,121,72
73,147,48
71,144,73
73,148,74
48,121,71
48,167,46
47,146,72
73,120,50
48,170,45
72,120,45
72,120,47
48,148,116
73,145,45
74,147,108
71,143,60
46,169,51
72,166,62
50,154,61
45,148,62
45,172,63
47,144,62
116,173,60
45,175,62
108,163,57
60,163,62
51,175,62
62,166,53
61,155,63
62,174,61
63,172,62
62,172,63
60,166,55
62,154,50
57,174,49
62,177,49
62,166,73
53,168,72
63,158,73
61,155,73
62,175,46
63,172,49
55,166,50
50,120,44
49,122,64
49,122,61
73,144,62
72,144,82
73,144,81
73,171,65
46,173,62
49,172,48
50,144,52
44,172,48
64,146,76
61,120,47
62,125,48
82,162,48
81,125,48
65,129,48
62,154,49
48,179,59
52,135,64
48,132,64
76,173,65
47,156,64
48,120,48
48,124,63
48,146,65
48,146,65
49,171,64
59,120,64
64,129,55
64,130,65
65,144,65
64,173,44
48,146,64
63,128,48
65,131,62
65,130,65
64,130,64
64,132,64
55,132,64
65,132,47
65,132,48
44,130,48
64,130,48
48,179,47
62,122,48
65,130,62
64,135,93
64,128,56
64,128,44
47,174,64
48,135,83
48,122,85
48,146,49
47,172,54
48,162,45
62,123,85
93,124,85
56,177,47
44,150,60
64,149,44
83,163,44
85,159,54
49,154,61
54,142,61
45,152,62
85,172,61
85,126,61
47,145,58
60,123,61
44,149,62
44,124,61
54,161,61
61,123,47
61,123,61
62,144,62
61,144,62
61,124,62
58,120,62
61,123,50
62,125,48
61,154,47
61,171,73
47,120,73
61,123,73
62,155,73
62,155,44
62,124,48
62,169,73
50,122,46
48,121,62
47,120,81
73,122,60
73,123,73
73,123,64
73,172,79
44,124,48
48,142,48
73,143,48
46,175,79
62,143,52
81,121,45
60,123,47
73,164,53
64,142,53
79,143,53
48,155,110
48,152,74
48,147,47
79,154,49
52,144,49
45,121,49
47,145,48
53,172,48
53,124,48
53,124,45
110,127,50
74,125,49
47,172,44
49,145,51
49,146,52
49,147,56
48,145,82
48,172,81
48,179,106
45,159,52
50,148,82
49,139,64
